diary_date,activity_text,source_file,worksheet,unique_to_source,status,all_sources_for_date
2025-05-05,Commence install of site fencing,01. May 2025/1816 - May Daily Reporting.xlsx,001,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::001; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::001
2025-05-05,Commence install of site fencing,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,001,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::001; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::001
2025-05-05,Commence install of site fencing,02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,001,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::001; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::001
2025-05-05,Commence install of site fencing,03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,001,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::001; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::001
2025-05-05,Enabling compound-Running water and toilet,01. May 2025/1816 - May Daily Reporting.xlsx,001,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::001; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::001
2025-05-05,Enabling compound-Running water and toilet,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,001,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::001; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::001
2025-05-05,Enabling compound-Running water and toilet,02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,001,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::001; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::001
2025-05-05,Enabling compound-Running water and toilet,03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,001,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::001; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::001
2025-05-06,Ongoing Fencing Install,01. May 2025/1816 - May Daily Reporting.xlsx,002,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::002; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::002; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::002; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::002
2025-05-06,Ongoing Fencing Install,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,002,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::002; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::002; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::002; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::002
2025-05-06,Ongoing Fencing Install,02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,002,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::002; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::002; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::002; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::002
2025-05-06,Ongoing Fencing Install,03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,002,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::002; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::002; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::002; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::002
2025-05-07,Complete Fencing Install,01. May 2025/1816 - May Daily Reporting.xlsx,003,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003
2025-05-07,Complete Fencing Install,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,003,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003
2025-05-07,Complete Fencing Install,02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,003,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003
2025-05-07,Complete Fencing Install,03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,003,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003
2025-05-07,Demo of fencing in front of sump,01. May 2025/1816 - May Daily Reporting.xlsx,003,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003
2025-05-07,Demo of fencing in front of sump,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,003,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003
2025-05-07,Demo of fencing in front of sump,02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,003,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003
2025-05-07,Demo of fencing in front of sump,03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,003,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003
2025-05-07,Establish Site Security Cameras,01. May 2025/1816 - May Daily Reporting.xlsx,003,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003
2025-05-07,Establish Site Security Cameras,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,003,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003
2025-05-07,Establish Site Security Cameras,02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,003,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003
2025-05-07,Establish Site Security Cameras,03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,003,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003
2025-05-07,Inspection of carpark works,01. May 2025/1816 - May Daily Reporting.xlsx,003,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003
2025-05-07,Inspection of carpark works,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,003,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003
2025-05-07,Inspection of carpark works,02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,003,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003
2025-05-07,Inspection of carpark works,03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,003,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003
2025-05-08,Application in for Sewer Plugs,01. May 2025/1816 - May Daily Reporting.xlsx,004,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::004; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::004
2025-05-08,Application in for Sewer Plugs,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,004,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::004; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::004
2025-05-08,Application in for Sewer Plugs,02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,004,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::004; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::004
2025-05-08,Application in for Sewer Plugs,03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,004,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::004; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::004
2025-05-08,Commence Demolition of Brick Pavers Within Site Boundary Bayly Street End,01. May 2025/1816 - May Daily Reporting.xlsx,004,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::004; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::004
2025-05-08,Commence Demolition of Brick Pavers Within Site Boundary Bayly Street End,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,004,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::004; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::004
2025-05-08,Commence Demolition of Brick Pavers Within Site Boundary Bayly Street End,02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,004,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::004; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::004
2025-05-08,Commence Demolition of Brick Pavers Within Site Boundary Bayly Street End,03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,004,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::004; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::004
2025-05-08,Delap Survey Inspected 8 Properties,01. May 2025/1816 - May Daily Reporting.xlsx,004,False,present in all 4 copies,01. May 2025/1816 - May Daily Reporting.xlsx::004; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::004
